Content_ID,Title,Content_Type,Current_Author,Author_Required_For_Publication,Proposed_Author,Human_Decision,Status
GLO-007,Cash Flow Surplus,glossary,null,YES (per existing CMS publication policy),,NOT_REVIEWED,NEEDS_AUTHOR_ASSIGNMENT
GLO-010,Variable Expense,glossary,null,YES (per existing CMS publication policy),,NOT_REVIEWED,NEEDS_AUTHOR_ASSIGNMENT
GLO-013,Savings Rate,glossary,null,YES (per existing CMS publication policy),,NOT_REVIEWED,NEEDS_AUTHOR_ASSIGNMENT
VID-003,Net Worth Explained in 5 Minutes,video,null,YES (per existing CMS publication policy),,NOT_REVIEWED,NEEDS_AUTHOR_ASSIGNMENT
FH-003,Financial Health vs Wealth: What's the Difference?,article,null,YES (per existing CMS publication policy),,NOT_REVIEWED,NEEDS_AUTHOR_ASSIGNMENT
FH-004,Why a High Income Doesn't Automatically Mean Financial Security,article,null,YES (per existing CMS publication policy),,NOT_REVIEWED,NEEDS_AUTHOR_ASSIGNMENT
FH-005,How Often Should You Review Your Financial Position?,guide,null,YES (per existing CMS publication policy),,NOT_REVIEWED,NEEDS_AUTHOR_ASSIGNMENT
NW-004,What Does Negative Net Worth Mean?,article,null,YES (per existing CMS publication policy),,NOT_REVIEWED,NEEDS_AUTHOR_ASSIGNMENT
GL-001,How to Turn Financial Dreams into Measurable Goals,guide,null,YES (per existing CMS publication policy),,NOT_REVIEWED,NEEDS_AUTHOR_ASSIGNMENT
IN-001,Saving vs Investing: When Does Each Make Sense?,article,null,YES (per existing CMS publication policy),,NOT_REVIEWED,NEEDS_AUTHOR_ASSIGNMENT
NW-002,Assets vs Liabilities: The Building Blocks of Net Worth,article,null,YES (per existing CMS publication policy),,NOT_REVIEWED,NEEDS_AUTHOR_ASSIGNMENT
IN-003,Risk and Return: Why They Usually Move Together,article,null,YES (per existing CMS publication policy),,NOT_REVIEWED,NEEDS_AUTHOR_ASSIGNMENT
IN-005,Asset Allocation Explained,article,null,YES (per existing CMS publication policy),,NOT_REVIEWED,NEEDS_AUTHOR_ASSIGNMENT
RAU-002,How Superannuation Contributions Build Retirement Savings,article,null,YES (per existing CMS publication policy),,NOT_REVIEWED,NEEDS_AUTHOR_ASSIGNMENT
RAU-001,Superannuation Explained for Beginners,article,null,YES (per existing CMS publication policy),,NOT_REVIEWED,NEEDS_AUTHOR_ASSIGNMENT
SB-003,"Understanding Savings, Debt and Liquidity Ratios Together",article,null,YES (per existing CMS publication policy),,NOT_REVIEWED,NEEDS_AUTHOR_ASSIGNMENT
FC-001,Why Financial Forecasting Matters,article,null,YES (per existing CMS publication policy),,NOT_REVIEWED,NEEDS_AUTHOR_ASSIGNMENT
CB-001,Understanding Your Financial Life Across Australia and India,article,null,YES (per existing CMS publication policy),,NOT_REVIEWED,NEEDS_AUTHOR_ASSIGNMENT
EX-002,How FHIP Calculates Cash Flow Surplus,fhip_explainer,null,YES (per existing CMS publication policy),,NOT_REVIEWED,NEEDS_AUTHOR_ASSIGNMENT
EX-007,How FHIP Measures Financial Resilience,fhip_explainer,null,YES (per existing CMS publication policy),,NOT_REVIEWED,NEEDS_AUTHOR_ASSIGNMENT
EX-010,How FHIP Measures Goal Readiness,fhip_explainer,null,YES (per existing CMS publication policy),,NOT_REVIEWED,NEEDS_AUTHOR_ASSIGNMENT
EX-003,How FHIP Calculates Savings Rate,fhip_explainer,null,YES (per existing CMS publication policy),,NOT_REVIEWED,NEEDS_AUTHOR_ASSIGNMENT
EX-009,How to Read the FHIP Financial Health Score,fhip_explainer,null,YES (per existing CMS publication policy),,NOT_REVIEWED,NEEDS_AUTHOR_ASSIGNMENT
EX-008,How FHIP Calculates the Financial Health Score,fhip_explainer,null,YES (per existing CMS publication policy),,NOT_REVIEWED,NEEDS_AUTHOR_ASSIGNMENT
EX-011,How FHIP Tracks Goal Funding Progress,fhip_explainer,null,YES (per existing CMS publication policy),,NOT_REVIEWED,NEEDS_AUTHOR_ASSIGNMENT
