Content_ID,Title,Content_Type,Category,Jurisdiction,Risk_Class,Batch,Current_CMS_Status,Editorial_PreCertification,Math_Certification,Methodology_Certification,Source_Verification_Status,Human_Editorial_Decision,Human_Editorial_Reviewer,Human_Editorial_Decision_At,Editorial_Notes,Human_Compliance_Required,Human_Compliance_Decision,Human_Compliance_Reviewer,Human_Compliance_Decision_At,Compliance_Notes,Author_Status,CTA_Status,Video_Status,Final_R1_7D_Status,Blocking_Issues,NonBlocking_Issues
EX-001,How FHIP Calculates Net Worth,fhip_explainer,,global,GREEN,08,draft,PASS (R1.7C structural+pattern-scan; full manual read),INDEPENDENTLY_RECOMPUTED_CORRECT,"MATCHES_PRODUCTION (R1.7C, code unchanged since -- reused)",N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,"internal-instruction-leak item(s) pending Product Owner disposition, see p0-internal-instruction-leak-review.csv; CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)"
GLO-008,Cash Flow Deficit,glossary,,global,GREEN,13,draft,PASS (R1.7C structural+pattern-scan; sample-checked),N/A,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
ER-003,Emergency Savings vs Investments,article,,global,GREEN,03,draft,PASS (R1.7C structural+pattern-scan; sample-checked),NO_NUMERIC_EXAMPLE_OR_NOT_RECOMPUTED,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
NW-001,What Is Net Worth?,article,,global,GREEN,04,draft,PASS (R1.7C structural+pattern-scan; sample-checked),INDEPENDENTLY_RECOMPUTED_CORRECT,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
DB-001,Good Debt vs Bad Debt,article,,global,GREEN,03,draft,PASS (R1.7C structural+pattern-scan; sample-checked),NO_NUMERIC_EXAMPLE_OR_NOT_RECOMPUTED,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
ER-004,What Happens Financially If Your Income Stops?,article,,global,GREEN,03,draft,PASS (R1.7C structural+pattern-scan; sample-checked),NO_NUMERIC_EXAMPLE_OR_NOT_RECOMPUTED,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
DB-002,Understanding Your Debt-to-Income Ratio,article,,global,GREEN,03,draft,PASS (R1.7C structural+pattern-scan; sample-checked),NO_NUMERIC_EXAMPLE_OR_NOT_RECOMPUTED,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
GLO-009,Fixed Expense,glossary,,global,GREEN,13,draft,PASS (R1.7C structural+pattern-scan; sample-checked),N/A,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
GLO-012,Discretionary Expense,glossary,,global,GREEN,14,draft,PASS (R1.7C structural+pattern-scan; sample-checked),N/A,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
GLO-014,Emergency Fund,glossary,,global,GREEN,14,draft,PASS (R1.7C structural+pattern-scan; sample-checked),N/A,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
DB-003,Understanding Your Debt Service Ratio,article,,global,GREEN,03,draft,PASS (R1.7C structural+pattern-scan; sample-checked),NO_NUMERIC_EXAMPLE_OR_NOT_RECOMPUTED,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
GL-003,How Inflation Changes the Future Cost of Your Goals,article,,global,GREEN,05,draft,PASS (R1.7C structural+pattern-scan; sample-checked),NO_NUMERIC_EXAMPLE_OR_NOT_RECOMPUTED,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
GL-002,"Short-, Medium- and Long-Term Financial Goals",article,,global,GREEN,04,draft,PASS (R1.7C structural+pattern-scan; sample-checked),INDEPENDENTLY_RECOMPUTED_CORRECT,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
GLO-001,Asset,glossary,,global,GREEN,12,draft,PASS (R1.7C structural+pattern-scan; full manual read),N/A,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
IN-002,Investment Risk Explained in Plain English,article,,global,GREEN,05,draft,PASS (R1.7C structural+pattern-scan; sample-checked),INDEPENDENTLY_RECOMPUTED_CORRECT,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
IN-004,Diversification Explained,article,,global,GREEN,05,draft,PASS (R1.7C structural+pattern-scan; sample-checked),INDEPENDENTLY_RECOMPUTED_CORRECT,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
MM-003,"Fixed, Variable, Essential and Discretionary Expenses",article,,global,GREEN,02,draft,PASS (R1.7C structural+pattern-scan; sample-checked),NO_NUMERIC_EXAMPLE_OR_NOT_RECOMPUTED,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
DB-004,How Interest Rates Affect Your Loan Repayments,article,,global,GREEN,03,draft,PASS (R1.7C structural+pattern-scan; sample-checked),INDEPENDENTLY_RECOMPUTED_CORRECT,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
RAU-003,Understanding Retirement Readiness in Australia,guide,,australia,AMBER,06,draft,PASS (R1.7C structural+pattern-scan; sample-checked),NO_NUMERIC_EXAMPLE_OR_NOT_RECOMPUTED,N/A,"SEARCH_AGGREGATED_ONLY -- direct primary fetch genuinely attempted and blocked (sandbox network), see p0-source-refresh-register.csv",NOT_REVIEWED,,,,YES,NOT_REVIEWED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,BLOCK_PENDING_OFFICIAL_SOURCE -- direct authoritative source recheck required before compliance approval,"internal-instruction-leak item(s) pending Product Owner disposition, see p0-internal-instruction-leak-review.csv; CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)"
RIN-001,EPF Explained for Beginners,article,,india,AMBER,06,draft,PASS (R1.7C structural+pattern-scan; full manual read),INDEPENDENTLY_RECOMPUTED_CORRECT,N/A,"SEARCH_AGGREGATED_ONLY -- direct primary fetch genuinely attempted and blocked (sandbox network), see p0-source-refresh-register.csv",NOT_REVIEWED,,,,YES,NOT_REVIEWED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,BLOCK_PENDING_OFFICIAL_SOURCE -- direct authoritative source recheck required before compliance approval,"internal-instruction-leak item(s) pending Product Owner disposition, see p0-internal-instruction-leak-review.csv; CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)"
CB-002,AUD and INR Currency Risk Explained,article,,australia_india_cross_border,AMBER,08,draft,PASS (R1.7C structural+pattern-scan; sample-checked),INDEPENDENTLY_RECOMPUTED_CORRECT,N/A,NOT_APPLICABLE -- no date-sensitive claim in draft,NOT_REVIEWED,,,,YES,NOT_REVIEWED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
RIN-002,PPF Explained for Beginners,article,,india,AMBER,06,draft,PASS (R1.7C structural+pattern-scan; sample-checked),NO_NUMERIC_EXAMPLE_OR_NOT_RECOMPUTED,N/A,"SEARCH_AGGREGATED_ONLY -- direct primary fetch genuinely attempted and blocked (sandbox network), see p0-source-refresh-register.csv",NOT_REVIEWED,,,,YES,NOT_REVIEWED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,BLOCK_PENDING_OFFICIAL_SOURCE -- direct authoritative source recheck required before compliance approval,"internal-instruction-leak item(s) pending Product Owner disposition, see p0-internal-instruction-leak-review.csv; CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)"
EX-025,How to Read Your FHIP Free Report,fhip_explainer,,global,GREEN,10,draft,PASS (R1.7C structural+pattern-scan; sample-checked),NO_NUMERIC_EXAMPLE_OR_NOT_RECOMPUTED,"MATCHES_PRODUCTION (R1.7C, code unchanged since -- reused)",N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,"internal-instruction-leak item(s) pending Product Owner disposition, see p0-internal-instruction-leak-review.csv; CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)"
RIN-003,NPS Explained for Beginners,article,,india,AMBER,06,draft,PASS (R1.7C structural+pattern-scan; sample-checked),NO_NUMERIC_EXAMPLE_OR_NOT_RECOMPUTED,N/A,"PFRDA_2026_GATE_REVIEWED -- real amendment confirmed (outsourcing/liability only, not eligibility/exit %), draft makes no stale numeric claim; separately, a real Dec-2025 exit-split change (80/20 non-govt vs 60/40 govt) was found and the draft's abstraction correctly avoids stating a % that would now be wrong",NOT_REVIEWED,,,,YES,NOT_REVIEWED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,"internal-instruction-leak item(s) pending Product Owner disposition, see p0-internal-instruction-leak-review.csv; PFRDA 2026 gate reviewed this pass -- see report section R for full evidence; CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)"
EX-026,How to Read Your FHIP Premium Report,fhip_explainer,,global,GREEN,11,draft,PASS (R1.7C structural+pattern-scan; sample-checked),NO_NUMERIC_EXAMPLE_OR_NOT_RECOMPUTED,"FLAGGED -- describes proposed V3 narrative redesign, does not match currently implemented reportSectionsPremium.ts structure (see report section X)",N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,Describes proposed V3 Premium Report redesign as if current -- needs wording correction or must stay unapproved until implemented,"internal-instruction-leak item(s) pending Product Owner disposition, see p0-internal-instruction-leak-review.csv; CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)"
IP-001,Why Insurance Is Part of Financial Health,article,,global,AMBER,07,draft,PASS (R1.7C structural+pattern-scan; sample-checked),NO_NUMERIC_EXAMPLE_OR_NOT_RECOMPUTED,N/A,NOT_APPLICABLE -- no date-sensitive claim in draft,NOT_REVIEWED,,,,YES,NOT_REVIEWED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
DN-001,Why Financial Decisions Aren't Just About Mathematics,article,,global,GREEN,07,draft,PASS (R1.7C structural+pattern-scan; sample-checked),NO_NUMERIC_EXAMPLE_OR_NOT_RECOMPUTED,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,"internal-instruction-leak item(s) pending Product Owner disposition, see p0-internal-instruction-leak-review.csv; CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)"
FC-002,Forecast vs Prediction: What's the Difference?,article,,global,GREEN,07,draft,PASS (R1.7C structural+pattern-scan; sample-checked),NO_NUMERIC_EXAMPLE_OR_NOT_RECOMPUTED,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
FC-003,How Future Net Worth Can Be Estimated,article,,global,GREEN,07,draft,PASS (R1.7C structural+pattern-scan; sample-checked),NO_NUMERIC_EXAMPLE_OR_NOT_RECOMPUTED,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
SB-001,What Is a Financial Health Score?,article,,global,GREEN,08,draft,PASS (R1.7C structural+pattern-scan; sample-checked),NO_NUMERIC_EXAMPLE_OR_NOT_RECOMPUTED,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
SB-002,Why One Score Cannot Describe Your Entire Financial Position,article,,global,GREEN,08,draft,PASS (R1.7C structural+pattern-scan; sample-checked),NO_NUMERIC_EXAMPLE_OR_NOT_RECOMPUTED,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
EX-006,How FHIP Calculates Debt Service Ratio,fhip_explainer,,global,GREEN,09,draft,PASS (R1.7C structural+pattern-scan; sample-checked),INDEPENDENTLY_RECOMPUTED_CORRECT,"MATCHES_PRODUCTION (R1.7C, code unchanged since -- reused)",N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,"internal-instruction-leak item(s) pending Product Owner disposition, see p0-internal-instruction-leak-review.csv; CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)"
VID-001,What Is Financial Health? | GKTC x FHIP,video,,global,GREEN,11,draft,PASS (R1.7C structural+pattern-scan; sample-checked),NO_NUMERIC_EXAMPLE_OR_NOT_RECOMPUTED,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,VIDEO_SCRIPT_READY_AWAITING_YOUTUBE,STAGE_A_ONLY -- awaiting Product Owner decision,None,"internal-instruction-leak item(s) pending Product Owner disposition, see p0-internal-instruction-leak-review.csv; VIDEO_SCRIPT_READY_AWAITING_YOUTUBE -- cannot be published as a Resource until real @GKTC metadata exists; CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)"
EX-004,How FHIP Measures Emergency Fund Coverage,fhip_explainer,,global,GREEN,09,draft,PASS (R1.7C structural+pattern-scan; sample-checked),INDEPENDENTLY_RECOMPUTED_CORRECT,"MATCHES_PRODUCTION (R1.7C, code unchanged since -- reused)",N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,"internal-instruction-leak item(s) pending Product Owner disposition, see p0-internal-instruction-leak-review.csv; CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)"
VID-004,Savings Rate: The Number That Shows What You Keep,video,,global,GREEN,11,draft,PASS (R1.7C structural+pattern-scan; sample-checked),INDEPENDENTLY_RECOMPUTED_CORRECT,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,VIDEO_SCRIPT_READY_AWAITING_YOUTUBE,STAGE_A_ONLY -- awaiting Product Owner decision,None,"internal-instruction-leak item(s) pending Product Owner disposition, see p0-internal-instruction-leak-review.csv; VIDEO_SCRIPT_READY_AWAITING_YOUTUBE -- cannot be published as a Resource until real @GKTC metadata exists; CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)"
EX-005,How FHIP Calculates Debt-to-Income Ratio,fhip_explainer,,global,GREEN,09,draft,PASS (R1.7C structural+pattern-scan; sample-checked),INDEPENDENTLY_RECOMPUTED_CORRECT,"MATCHES_PRODUCTION (R1.7C, code unchanged since -- reused)",N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,"internal-instruction-leak item(s) pending Product Owner disposition, see p0-internal-instruction-leak-review.csv; CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)"
