Requirement ID,Canonical Area,Canonical Task (operator language),Governance domain (FDH-13 origin),Requirement,Proposed capability,"Canonical role (interim, per REG-16 pending)",Segregation requirement,Audit requirement,Data sensitivity / Privacy classification,Implementation stage (Status),Future Admin wave,Certification evidence,Blocks FDH-13 closure,Product Owner decision
FDH13-IC-002,Data Governance,Candidate carries evidence (independent-user count / corrections / matching aliases) ra...,Intelligence-candidate governance,Candidate carries evidence (independent-user count / corrections / matching aliases) rather than a bare confidence number,canReviewFdhMasterData,Super Admin (interim); candidate: Data Governance Contributor,None,Evidence is part of the reviewable record (no separate audit needed beyond MD-011's admin-actor gap),internal,IMPLEMENTED,Wave B,fdh2Domain.test.ts,No,None
FDH13-IC-003,Data Governance,PII / personal-payee screening gate blocks approval of an unscreened or flagged candidate,Intelligence-candidate governance,PII / personal-payee screening gate blocks approval of an unscreened or flagged candidate,"canApproveFdhMasterData (gate is automatic, not a separate capability)",Super Admin (interim); candidate: Data Governance Approver,None,PII-screening outcome is audit-relevant metadata on the candidate row itself,identifiable (screening subject matter) / internal (screening outcome),IMPLEMENTED,Wave B,fdh2Domain.test.ts asserts the DB constraint,No,None
FDH13-IC-004,Data Governance,Candidate REVIEW status transition (open -> admin_review) requires a real reviewer iden...,Intelligence-candidate governance,Candidate REVIEW status transition (open -> admin_review) requires a real reviewer identity,canReviewFdhMasterData,Super Admin (interim); candidate: Data Governance Contributor,Reviewer identity capture is a prerequisite for any future propose/review segregation,Transition audited with reviewer actor_id once wired,internal,PARTIAL,Wave B,fdh2Domain.test.ts covers the pure logic; needs a live-route/RPC test once wired,Yes,None
FDH13-IC-005,Data Governance,No candidate may be promoted automatically on confidence threshold alone (negative cont...,Intelligence-candidate governance,No candidate may be promoted automatically on confidence threshold alone (negative control),N/A (this is an absence-of-capability control),"N/A - cross-cutting control, not a standing role grant",None,N/A,internal,IMPLEMENTED,None (already closed),tests/unit/fdh2Domain.test.ts (12 disallowed terminal-state transitions tested),No,None
FDH13-IC-006,Data Governance,Candidate PROMOTION writes the approved fact into canonical master data (fdh_merchants ...,Intelligence-candidate governance,Candidate PROMOTION writes the approved fact into canonical master data (fdh_merchants / fdh_classification_rules),canApproveFdhMasterData (promotion is the terminal effect of approval),Super Admin (interim); candidate: Data Governance Approver,Reviewer of the candidate should not be the sole promoter without a second check where segregation is mandated (aligns with MD-012),Promotion audited with a link back to the source candidate id (correlation),internal,MISSING,Wave B,New tests required: promotion writer + idempotency + rollback-of-promotion,Yes,"Shares REG-01 (RESOLVED, see MD-004) and REG-02 (RESOLVED: forward-only correction/supersession, never rewrite or delete an approved decision -- see Decision Register)"
FDH13-IC-007,Data Governance,Duplicate-candidate detection and merge,Intelligence-candidate governance,Duplicate-candidate detection and merge,canReviewFdhMasterData / canApproveFdhMasterData,Super Admin (interim); candidate: Data Governance Approver,Same as MD-012,Merge audited (which record merged into which),internal,PARTIAL,Wave B,New test needed once wired,No,None
FDH13-IC-008,Data Governance,Candidate decisions are VERSIONED (a later re-review does not silently overwrite the ea...,Intelligence-candidate governance,Candidate decisions are VERSIONED (a later re-review does not silently overwrite the earlier decision),canReviewFdhMasterData,Super Admin (interim); candidate: Data Governance Contributor,None additional,Each re-review recorded as a new audit event referencing the prior one,internal,MISSING,Wave B,New test required,No,REG-03 (shared with MD-008 -- history-table vs. audit-trail-as-history)
FDH13-IC-009,Data Governance,A promoted candidate can be ROLLED BACK,Intelligence-candidate governance,A promoted candidate can be ROLLED BACK,canApproveFdhMasterData,Super Admin (interim); candidate: Data Governance Approver,Same as MD-004,Rollback audited with rollback-of-event linkage,internal,MISSING,Wave B,New tests required,Yes,REG-02 (shared with MD-007)
FDH13-IC-010,Data Governance,Candidate lifecycle is fully audited end to end (open/admin_review/approved/rejected/me...,Intelligence-candidate governance,Candidate lifecycle is fully audited end to end (open/admin_review/approved/rejected/merged),(cross-cutting -- see MD-011),"N/A - cross-cutting control, not a standing role grant",None,This row and MD-011 are the same underlying gap,internal,PARTIAL,Wave A/B,Shares certification evidence with MD-011,Yes,"REG-05 -- RESOLVED (shared with MD-011): canonical cross-domain admin_audit_events table, domain='fdh', not an FDH-only table"
FDH13-IC-011,Data Governance,No candidate becomes canonical merely because it exists in the candidate table (structu...,Intelligence-candidate governance,"No candidate becomes canonical merely because it exists in the candidate table (structural, not just procedural, guarantee)","N/A (structural control, not a capability)","N/A - cross-cutting control, not a standing role grant",None,N/A,identifiable (aggregate cross-household correction pattern),IMPLEMENTED,None (already closed),scripts/fdh2_rls_certification.mjs (live-proved),No,None
FDH13-PC-001,Data Governance,"A PARSER REGISTRY records parser identity, institution, document type and format",Parser and coverage governance,"A PARSER REGISTRY records parser identity, institution, document type and format",canViewFdhOperations,Super Admin (interim); candidate: Data Governance Contributor,None,N/A (reference data),internal,IMPLEMENTED,Wave C,tests/unit/fdh2SchemaContract.test.ts,No,None
FDH13-PC-002,Data Governance,Each parser VERSION has a certification status (development / certified / deprecated / ...,Parser and coverage governance,Each parser VERSION has a certification status (development / certified / deprecated / disabled),canManageFdhParsers (write) / canViewFdhOperations (read),Super Admin (interim); candidate: Data Governance Contributor (pending REG-06),Publish parser support and approve its own fixtures: PO spec section 8 row 7 -- see REG-06,"Status changes should be audited once an admin route exists (currently migration-only, so implicitly reviewed via git/PR)",internal,IMPLEMENTED,Wave C,docs/financial-data-hub/FDH4_BANK_ADAPTER_COVERAGE.md documents the full certified/not-supported matrix,No,REG-06 (self-certification of one's own fixtures) -- see Decision Register
FDH13-PC-003,Data Governance,Institution-level COVERAGE STATUS (master_only / parser_planned / parser_certified) is ...,Parser and coverage governance,Institution-level COVERAGE STATUS (master_only / parser_planned / parser_certified) is tracked and never overstated,canViewFdhOperations,Super Admin (interim); candidate: Data Governance Contributor,None,Coverage-status changes should be audited once an admin route exists,public (which banks are supported is not sensitive),PARTIAL,Wave C,FDH4_BANK_ADAPTER_COVERAGE.md's own explicit self-audit language,No,None
FDH13-PC-004,Data Governance,Parser certification is backed by a FIXTURE/regression pack with provenance,Parser and coverage governance,Parser certification is backed by a FIXTURE/regression pack with provenance,canViewFdhOperations,Super Admin (interim); candidate: Data Governance Contributor,None,N/A,internal (synthetic fixture data only),IMPLEMENTED,Wave C,Existing FDH-4/R7 test suites already exercise every fixture,No,None
FDH13-PC-005,Data Governance,A COVERAGE DASHBOARD shows certified vs. total institutions per country,Parser and coverage governance,A COVERAGE DASHBOARD shows certified vs. total institutions per country,canViewFdhAnalytics,Analyst (+ Super Admin),None,"N/A (aggregate reference metric, not a personal-data event)","public/internal (aggregate counts only, no per-user data)",MISSING,Wave C/E,New test required,No,None
FDH13-PC-006,Data Governance,False-positive / false-negative parser detection is monitored,Parser and coverage governance,False-positive / false-negative parser detection is monitored,canViewFdhAnalytics,Analyst (+ Super Admin),None,N/A,internal (aggregate only),MISSING,Wave C/D,New test required,No,None
FDH13-PC-007,Data Governance,Unsupported format/institution is detected at upload time and never silently guessed,Parser and coverage governance,Unsupported format/institution is detected at upload time and never silently guessed,N/A,"N/A - cross-cutting control, not a standing role grant",None,Already covered by FDH-4/R7's own certification suite,internal,IMPLEMENTED,N/A -- NOT_APPLICABLE to FDH-13's Admin scope,Existing FDH-4 test suite,No,None
FDH13-PC-008,Data Governance,A RELEASE GATE exists before a parser version is marked certified,Parser and coverage governance,A RELEASE GATE exists before a parser version is marked certified,canManageFdhParsers,Super Admin (interim); candidate: Data Governance Contributor (pending REG-06),Create and certify a parser: PO spec section 8 row 2 -- see REG-06,Release audited once an Admin route exists,internal,PARTIAL,Wave C,None yet for an Admin-driven release; migration-based history is itself the current evidence trail,No,REG-06 (shared with PC-002)
FDH13-PC-009,Data Governance,A certified parser version can be ROLLED BACK to the prior certified version,Parser and coverage governance,A certified parser version can be ROLLED BACK to the prior certified version,canManageFdhParsers,Super Admin (interim); candidate: Data Governance Contributor (pending REG-06),Same as PC-008,Rollback audited,internal,PARTIAL,Wave C,New test required,No,None
FDH13-PC-010,Data Governance,A parser is bounded to its certified country/currency and never applied outside it,Parser and coverage governance,A parser is bounded to its certified country/currency and never applied outside it,N/A,"N/A - cross-cutting control, not a standing role grant",None,Already covered by existing FDH-4/R7 detection tests,internal,IMPLEMENTED,N/A,Existing FDH-4/R7 test suite,No,None
FDH13-PC-011,Data Governance,"VIEW/MANAGE the parser registry (list, inspect version history, see certification evide...",Parser and coverage governance,"Admin can VIEW/MANAGE the parser registry (list, inspect version history, see certification evidence)",canManageFdhParsers (write) / canViewFdhOperations (read),Super Admin (interim); candidate: Data Governance Contributor (pending REG-06),Same as PC-002/PC-008,Every mutation audited (MD-011-style gap applies here too),internal,MISSING,Wave C,New tests required,Yes,"Shares REG-05 (RESOLVED, see MD-011): canonical cross-domain audit sink, domain='fdh'"
FDH13-OM-001,Operations,Upload volume is monitored,Operational monitoring,Upload volume is monitored,canViewFdhAnalytics,Analyst (+ Super Admin),None,N/A (aggregate metric),"internal (aggregate counts, pseudonymous per Decision 3)",MISSING,Wave D,New test required,No,None
FDH13-OM-002,Operations,Parse success/failure is monitored,Operational monitoring,Parse success/failure is monitored,canViewFdhAnalytics,Analyst (+ Super Admin),None,N/A (aggregate metric),internal (aggregate),MISSING,Wave D,New test required,No,None
FDH13-OM-003,Operations,Reconciliation failures are monitored in aggregate,Operational monitoring,Reconciliation failures are monitored in aggregate,canViewFdhAnalytics,Analyst (+ Super Admin),None,N/A (aggregate metric only),identifiable (source table) -> must be re-derived as aggregate,MISSING,Wave D/E,New RPC + test required,No,None
FDH13-OM-004,Operations,Duplicate-detection volume is monitored in aggregate,Operational monitoring,Duplicate-detection volume is monitored in aggregate,canViewFdhAnalytics,Analyst (+ Super Admin),None,N/A,identifiable (source) -> aggregate required,MISSING,Wave D/E,New RPC + test required,No,None
FDH13-OM-005,Operations,Categorisation-confidence trend is monitored,Operational monitoring,Categorisation-confidence trend is monitored,canViewFdhAnalytics,Analyst (+ Super Admin),None,N/A,identifiable (source) -> aggregate required,MISSING,Wave D/E,New RPC + test required,No,None
FDH13-OM-006,Operations,Approval/apply failures are monitored,Operational monitoring,Approval/apply failures are monitored,canViewFdhAnalytics,Analyst (+ Super Admin),None,N/A,identifiable (source) -> aggregate required,MISSING,Wave D,New RPC + test required,No,None
FDH13-OM-007,Operations,Processing latency and queue/backlog are monitored,Operational monitoring,Processing latency and queue/backlog are monitored,canViewFdhAnalytics,Analyst (+ Super Admin),None,N/A,"internal (aggregate, already allowlisted)",PARTIAL,Wave D,New test required,No,None
FDH13-OM-008,Operations,Provider/storage failures are monitored,Operational monitoring,Provider/storage failures are monitored,canViewFdhAnalytics,Analyst (+ Super Admin),None,N/A,identifiable (source) -> aggregate required,MISSING,Wave D,New RPC + test required,No,None
FDH13-OM-009,Operations,FDH-specific SECURITY EVENTS are monitored and distinguished from ordinary failures,Operational monitoring,FDH-specific SECURITY EVENTS are monitored and distinguished from ordinary failures,canViewFdhAnalytics / canAccessFdhSupportData (for detail drill-down),Analyst (+ Super Admin),Access to security-event DETAIL should require a stricter capability than the aggregate dashboard,Every security event is itself an audit-relevant record,highly sensitive (security event) / internal (aggregate),MISSING,Wave D/F,New table/feed + tests required,No,"REG-07 -- RESOLVED by binding PO ruling: canonical Admin security-event structure with domain classification (domain='fdh'), not a dedicated fdh_security_events table -- no hard technical evidence was found that a shared structure cannot safely support FDH events; no exception recorded -- see Decision Register"
FDH13-OM-010,Operations,Synthetic-test-data residue and cleanup failures are detected,Operational monitoring,Synthetic-test-data residue and cleanup failures are detected,canViewFdhOperations,Super Admin (interim); candidate: Data Governance Contributor,None,Detection run itself should be logged,internal,PARTIAL,Wave D,New test required,No,None
FDH13-OM-011,Operations,An ADMIN-CONTROLLED kill switch exists for FDH upload/processing (not only an env var),Operational monitoring,An ADMIN-CONTROLLED kill switch exists for FDH upload/processing (not only an env var),canManageFdhParsers or a dedicated canOperateFdhKillSwitch (PO to confirm which -- REG-08),Super Admin (interim); candidate: Data Governance Contributor (pending REG-06),"Kill-switch use should itself be a restricted, logged action -- not folded into general operations viewing","Every kill-switch flip audited with a MANDATORY reason, exactly like Module 11.1's pattern",internal,PARTIAL,Wave D,Direct precedent tests already exist for Module 11.1's equivalent (tests covering app/api/admin/ai/kill-switch) -- FDH-13 should mirror them,No,REG-08 (dedicated FDH kill-switch capability name and scope) -- see Decision Register
FDH13-OM-012,Operations,Alert ownership is assigned per failure category,Operational monitoring,Alert ownership is assigned per failure category,"N/A (operational/organisational, not a software capability)","N/A - cross-cutting control, not a standing role grant",None,N/A,internal,MISSING,Wave D/G,"Cannot be certified in-repo -- this is an operational/organisational commitment, not a code deliverable",No,"REG-09 (who owns FDH operational alerts in practice -- a people/process decision, not an architecture one) -- see Decision Register"
FDH13-OM-013,Operations,Failures are classified as user-correctable / parser defect / data-quality warning / in...,Operational monitoring,Failures are classified as user-correctable / parser defect / data-quality warning / infrastructure / security / privacy incident,canViewFdhAnalytics,Analyst (+ Super Admin),None,Classification itself is metadata on an already-audited event,internal,PARTIAL,Wave D,New mapping + test required,No,None
FDH13-PR-001,"Security & Support",Admin has NO standing access to raw user financial documents (Product Owner Decision 3),Privacy and support access,Admin has NO standing access to raw user financial documents (Product Owner Decision 3),N/A,"N/A - cross-cutting control, not a standing role grant",None,N/A (the absence of access is the control),highly sensitive,IMPLEMENTED,None (already closed),tests/unit/fdh1Isolation.test.ts lines 517-570,No,None
FDH13-PR-002,"Security & Support",Admin-visible fields are an explicit ALLOWLIST of operational metadata (never a denylist),Privacy and support access,Admin-visible fields are an explicit ALLOWLIST of operational metadata (never a denylist),canViewFdhOperations,Super Admin (interim); candidate: Data Governance Contributor,None,N/A,internal (operational metadata only),IMPLEMENTED,None (already closed),tests/unit/fdh1Isolation.test.ts,No,None
FDH13-PR-003,"Security & Support",Forbidden columns are named with an explicit REASON (not merely omitted),Privacy and support access,Forbidden columns are named with an explicit REASON (not merely omitted),N/A,"N/A - cross-cutting control, not a standing role grant",None,N/A,highly sensitive,IMPLEMENTED,None (already closed),tests/unit/fdh1Isolation.test.ts lines 553-570 (asserts forbidden columns never leak into the allowlist),No,None
FDH13-PR-004,"Security & Support","Any admin projection of user-owned data uses a PSEUDONYMOUS reference, never a direct u...",Privacy and support access,"Any admin projection of user-owned data uses a PSEUDONYMOUS reference, never a direct user_id",canViewFdhOperations,Super Admin (interim); candidate: Data Governance Contributor,None,N/A,internal,PARTIAL,Wave A/B,New test required for the real pseudonymisation implementation,Yes,"REG-10 -- RESOLVED by binding PO ruling: keyed HMAC pseudonym derived server-side, secret held outside the database in the approved secrets facility, versioned key identifier, no raw user UUID in Admin-visible results, no reversible lookup exposed to administrators, documented rotation/historical-comparison behaviour; suppression still applies on top -- design ruling only, not built in this phase -- see Decision Register"
FDH13-PR-005,"Security & Support",A hard list of tables admin has NO standing access to at ANY granularity (not even aggr...,Privacy and support access,A hard list of tables admin has NO standing access to at ANY granularity (not even aggregated),N/A,"N/A - cross-cutting control, not a standing role grant",None,N/A,highly sensitive,IMPLEMENTED,None (already closed),tests/unit/fdh1Isolation.test.ts lines 629-667,No,None
FDH13-PR-006,"Security & Support","Analyst receives AGGREGATED, privacy-safe FDH metrics only -- no row-level access",Privacy and support access,"Analyst receives AGGREGATED, privacy-safe FDH metrics only -- no row-level access",canViewFdhAnalytics,Analyst (+ Super Admin),Analyst must never also receive canAccessFdhSupportData or canApproveFdhMasterData,N/A,identifiable source data -> must be aggregate only for Analyst,MISSING,Wave E,Standard section 7's own certification requirements apply once built,No,None
FDH13-PR-007,"Security & Support",Support access to identifiable FDH data requires its OWN explicit capability (not infer...,Privacy and support access,Support access to identifiable FDH data requires its OWN explicit capability (not inferred from Admin/Resources/Analyst/MCC/premium status),canAccessFdhSupportData,Super Admin (interim) - gated on Wave F consent design; candidate: Support Access Grantee,canAccessFdhSupportData must never be granted merely for holding another FDH or Admin capability (explicit PO instruction),Every support-access grant AND every use of it audited (purpose + target + time-bound),highly sensitive,MISSING,Wave F,New consent-architecture design + tests required,Yes,REG-12 (the support-access consent architecture itself -- explicitly flagged in adminBoundary.ts as needing its own approved phase) -- see Decision Register
FDH13-PR-008,"Security & Support",Support access is PURPOSE-BOUND and every use is logged with purpose + target,Privacy and support access,Support access is PURPOSE-BOUND and every use is logged with purpose + target,canAccessFdhSupportData,Super Admin (interim) - gated on Wave F consent design; candidate: Support Access Grantee,Must be independent from canApproveFdhMasterData (PO spec section 8 row 4: access user support data and approve master data -- Determine and justify),Purpose + target on every access event,highly sensitive,MISSING,Wave F,New tests required,Yes,Shares REG-12 with PR-007; segregation question is REG-13 -- see Decision Register
FDH13-PR-009,"Security & Support",A TIME-BOXED / break-glass access mechanism exists for exceptional raw-document access,Privacy and support access,A TIME-BOXED / break-glass access mechanism exists for exceptional raw-document access,canUseFdhBreakGlassAccess,"RESERVED - Wave F only, no holder designed yet",canUseFdhBreakGlassAccess must never be combined with the ability to edit or delete audit records (PO spec section 8 row 6: prohibited outright),"Every activation audited with purpose, target, time bound and expiry",highly sensitive,MISSING,Wave F,New design + tests required in a future phase,Yes,REG-12 (shared with PR-007/PR-008)
FDH13-PR-010,"Security & Support","FDH governance exports are server-side generated, authorised, and audited (never a raw ...",Privacy and support access,"FDH governance exports are server-side generated, authorised, and audited (never a raw client-side dump)",canExportFdhGovernanceData,Super Admin (interim); candidate: Data Governance Approver (pending REG-04),"Export should require a narrower capability grant than view (REG-04, shared with MD-010)",Every export logged (who/what/when/how many rows),internal-to-highly-sensitive depending on export content,MISSING,Wave B/G,Standard section 11's own certification requirements apply,No,REG-04 (shared with MD-010)
FDH13-PR-011,"Security & Support",Support-access grants have a defined RETENTION and eventual deletion policy,Privacy and support access,Support-access grants have a defined RETENTION and eventual deletion policy,(governs canAccessFdhSupportData / canUseFdhBreakGlassAccess),"RESERVED - Wave F only, no holder designed yet",None additional,Retention/deletion events themselves audited,highly sensitive,MISSING,Wave F,New design + tests required,Yes,REG-12 (shared)
FDH13-PR-012,"Security & Support",Sensitive values are REDACTED in any admin-visible metadata or log,Privacy and support access,Sensitive values are REDACTED in any admin-visible metadata or log,(cross-cutting),"N/A - cross-cutting control, not a standing role grant",None additional,N/A,highly sensitive,PARTIAL,Wave F,New design + tests required,No,None
FDH13-PR-013,"Security & Support",Admin UI must never become an RLS bypass -- cross-tenant access stays blocked at the da...,Privacy and support access,Admin UI must never become an RLS bypass -- cross-tenant access stays blocked at the database layer regardless of what the Admin UI does,(cross-cutting -- applies to every FDH-13 capability),"N/A - cross-cutting control, not a standing role grant",None additional,Every privileged RPC read is itself an audit event per Standard section 6,highly sensitive,IMPLEMENTED,Wave A (as a build-time constraint on every later wave),Standard section 6's own certification checklist,No,None
FDH13-PR-014,"Security & Support",Country-confirmation status (MCC) is never conflated with Admin authorisation or suppor...,Privacy and support access,Country-confirmation status (MCC) is never conflated with Admin authorisation or support-access eligibility,N/A,"N/A - cross-cutting control, not a standing role grant",None,N/A,internal,IMPLEMENTED,None (already closed; must not be reopened per PO spec section 2 'Do not reopen or modify MCC'),requireAdmin()'s existing test coverage (countryGateAdminAndHousehold.test.ts),No,None
FDH13-AE-001,Administration (Audit),Every FDH governance audit event records an ADMIN actor (not only user/system/service),Audit and evidence,Every FDH governance audit event records an ADMIN actor (not only user/system/service),(enforced automatically by every write capability),"N/A - cross-cutting control, not a standing role grant",N/A,This row IS the audit requirement underlying MD-011/IC-010/PC-011,internal,MISSING,Wave A,New schema-contract test required (widen actor_type or introduce a new table),Yes,"REG-05 -- RESOLVED (shared with MD-011): canonical, cross-domain admin_audit_events table with domain='fdh' as one classification value; fdh_document_audit_events stays document-scoped, unmigrated in this phase -- see Decision Register"
FDH13-AE-002,Administration (Audit),Audit event records which CAPABILITY/operation was exercised,Audit and evidence,Audit event records which CAPABILITY/operation was exercised,(enforced automatically),"N/A - cross-cutting control, not a standing role grant",N/A,This row IS part of the audit requirement,internal,PARTIAL,Wave A/B,New enum values + schema-contract test,Yes,"Shares REG-05 (RESOLVED, see MD-011/AE-001): canonical cross-domain audit sink"
FDH13-AE-003,Administration (Audit),Audit event records the TARGET generically (not only a document_id),Audit and evidence,Audit event records the TARGET generically (not only a document_id),(enforced automatically),"N/A - cross-cutting control, not a standing role grant",N/A,This row IS part of the audit requirement,internal,MISSING,Wave A,New schema-contract test,Yes,"Shares REG-05 (RESOLVED, see MD-011/AE-001): canonical cross-domain audit sink"
FDH13-AE-004,Administration (Audit),Audit event captures BEFORE/AFTER state,Audit and evidence,Audit event captures BEFORE/AFTER state,(enforced automatically),"N/A - cross-cutting control, not a standing role grant",N/A,This row IS part of the audit requirement,internal,PARTIAL,Wave B,New payload-shape tests required per event type,No,None
FDH13-AE-005,Administration (Audit),Audit event captures a REASON for the governance action,Audit and evidence,Audit event captures a REASON for the governance action,(enforced automatically for reject/retire/rollback/kill-switch specifically),"N/A - cross-cutting control, not a standing role grant",N/A,This row IS part of the audit requirement,internal,PARTIAL,Wave A/B,New application-layer validation tests (mirroring Module 11.1's kill-switch reason enforcement),No,None
FDH13-AE-006,Administration (Audit),Audit event links to the approval that authorised it,Audit and evidence,Audit event links to the approval that authorised it,(enforced automatically),"N/A - cross-cutting control, not a standing role grant",N/A,This row IS part of the audit requirement,internal,MISSING,Wave A/B,New schema-contract test,No,"Shares REG-05 (RESOLVED, see MD-011/AE-001); not independently blocking (Blocks FDH-13 closure = No)"
