Content_ID,Title,Content_Type,Batch,Jurisdiction,Risk_Class,CMS_Record_Found,CMS_Status,CMS_Private,CMS_Indexable,Published_At,Structured_Content_Present,Excerpt_Present,Word_Count,Reading_Time,Editorial_Result,Terminology_Result,Math_Result,Official_Source_Required,Official_Source_Result,Official_Source_Verified_At,FHIP_Methodology_Required,FHIP_Methodology_Result,Calculation_Version_or_Code_Reference,Related_Content_Result,Related_Content_Count,CTA_Result,Author_Result,Admin_Render_Result,Public_Security_Result,Second_Apply_Result,Readiness_State,Open_Issues,Reviewer_Notes
ER-001,What Is an Emergency Fund?,Article,02,Global,GREEN,YES,draft,YES,NO,,YES,YES,1250,6 min,PASS,PASS,NO_NUMERIC_EXAMPLE_OR_NOT_APPLICABLE,NO,N/A,,NO,N/A,N/A,NONE,0,"CTA_MAPPING_REQUIRED (resource_ctas empty, accepted per spec §17)",NEEDS_AUTHOR_ASSIGNMENT (accepted per spec §18),"NOT_DIRECTLY_SAMPLED -- covered by the same structural/validation checks (block-type validity, leak-pattern scan, related-content render) applied to all 84; not individually opened in the live Admin editor this pass","PASS -- real HTTP 404 (npx next start production server), noindex meta, genuine app 404 body; search/sitemap/glossary/videos listings confirmed to exclude this record's type-representative sample","PASS (0 hash/updated_at/audit churn on second real apply, see second-apply-idempotency-proof.json)",READY_FOR_HUMAN_EDITORIAL_REVIEW,"None blocking -- CTA_MAPPING_REQUIRED and NEEDS_AUTHOR_ASSIGNMENT are expected editorial-readiness states, not defects","Re-certified in the R1.7C closure pass 2026-08-21; foundational data verified live against DEV, not re-derived from the prior report alone."
ER-002,How Many Months of Expenses Should You Keep?,Article,02,Global,GREEN,YES,draft,YES,NO,,YES,YES,1503,8 min,PASS,PASS,NO_NUMERIC_EXAMPLE_OR_NOT_APPLICABLE,NO,N/A,,NO,N/A,N/A,NONE,0,"CTA_MAPPING_REQUIRED (resource_ctas empty, accepted per spec §17)",NEEDS_AUTHOR_ASSIGNMENT (accepted per spec §18),"NOT_DIRECTLY_SAMPLED -- covered by the same structural/validation checks (block-type validity, leak-pattern scan, related-content render) applied to all 84; not individually opened in the live Admin editor this pass","PASS -- real HTTP 404 (npx next start production server), noindex meta, genuine app 404 body; search/sitemap/glossary/videos listings confirmed to exclude this record's type-representative sample","PASS (0 hash/updated_at/audit churn on second real apply, see second-apply-idempotency-proof.json)",READY_FOR_HUMAN_EDITORIAL_REVIEW,"None blocking -- CTA_MAPPING_REQUIRED and NEEDS_AUTHOR_ASSIGNMENT are expected editorial-readiness states, not defects","Re-certified in the R1.7C closure pass 2026-08-21; foundational data verified live against DEV, not re-derived from the prior report alone."
ER-003,Emergency Savings vs Investments,Article,03,Global,GREEN,YES,draft,YES,NO,,YES,YES,1333,7 min,PASS,PASS,NO_NUMERIC_EXAMPLE_OR_NOT_APPLICABLE,NO,N/A,,NO,N/A,N/A,NONE,0,"CTA_MAPPING_REQUIRED (resource_ctas empty, accepted per spec §17)",NEEDS_AUTHOR_ASSIGNMENT (accepted per spec §18),"NOT_DIRECTLY_SAMPLED -- covered by the same structural/validation checks (block-type validity, leak-pattern scan, related-content render) applied to all 84; not individually opened in the live Admin editor this pass","PASS -- real HTTP 404 (npx next start production server), noindex meta, genuine app 404 body; search/sitemap/glossary/videos listings confirmed to exclude this record's type-representative sample","PASS (0 hash/updated_at/audit churn on second real apply, see second-apply-idempotency-proof.json)",READY_FOR_HUMAN_EDITORIAL_REVIEW,"None blocking -- CTA_MAPPING_REQUIRED and NEEDS_AUTHOR_ASSIGNMENT are expected editorial-readiness states, not defects","Re-certified in the R1.7C closure pass 2026-08-21; foundational data verified live against DEV, not re-derived from the prior report alone."
ER-004,What Happens Financially If Your Income Stops?,Article,03,Global,GREEN,YES,draft,YES,NO,,YES,YES,1461,7 min,PASS,PASS,NO_NUMERIC_EXAMPLE_OR_NOT_APPLICABLE,NO,N/A,,NO,N/A,N/A,NONE,0,"CTA_MAPPING_REQUIRED (resource_ctas empty, accepted per spec §17)",NEEDS_AUTHOR_ASSIGNMENT (accepted per spec §18),"NOT_DIRECTLY_SAMPLED -- covered by the same structural/validation checks (block-type validity, leak-pattern scan, related-content render) applied to all 84; not individually opened in the live Admin editor this pass","PASS -- real HTTP 404 (npx next start production server), noindex meta, genuine app 404 body; search/sitemap/glossary/videos listings confirmed to exclude this record's type-representative sample","PASS (0 hash/updated_at/audit churn on second real apply, see second-apply-idempotency-proof.json)",READY_FOR_HUMAN_EDITORIAL_REVIEW,"None blocking -- CTA_MAPPING_REQUIRED and NEEDS_AUTHOR_ASSIGNMENT are expected editorial-readiness states, not defects","Re-certified in the R1.7C closure pass 2026-08-21; foundational data verified live against DEV, not re-derived from the prior report alone."
DB-001,Good Debt vs Bad Debt,Article,03,Global,GREEN,YES,draft,YES,NO,,YES,YES,1383,7 min,PASS,PASS,NO_NUMERIC_EXAMPLE_OR_NOT_APPLICABLE,NO,N/A,,NO,N/A,N/A,NONE,0,"CTA_MAPPING_REQUIRED (resource_ctas empty, accepted per spec §17)",NEEDS_AUTHOR_ASSIGNMENT (accepted per spec §18),"NOT_DIRECTLY_SAMPLED -- covered by the same structural/validation checks (block-type validity, leak-pattern scan, related-content render) applied to all 84; not individually opened in the live Admin editor this pass","PASS -- real HTTP 404 (npx next start production server), noindex meta, genuine app 404 body; search/sitemap/glossary/videos listings confirmed to exclude this record's type-representative sample","PASS (0 hash/updated_at/audit churn on second real apply, see second-apply-idempotency-proof.json)",READY_FOR_HUMAN_EDITORIAL_REVIEW,"None blocking -- CTA_MAPPING_REQUIRED and NEEDS_AUTHOR_ASSIGNMENT are expected editorial-readiness states, not defects","Re-certified in the R1.7C closure pass 2026-08-21; foundational data verified live against DEV, not re-derived from the prior report alone."
DB-002,Understanding Your Debt-to-Income Ratio,Article,03,Global,GREEN,YES,draft,YES,NO,,YES,YES,1264,6 min,PASS,PASS,NO_NUMERIC_EXAMPLE_OR_NOT_APPLICABLE,NO,N/A,,NO,N/A,N/A,NONE,0,"CTA_MAPPING_REQUIRED (resource_ctas empty, accepted per spec §17)",NEEDS_AUTHOR_ASSIGNMENT (accepted per spec §18),"NOT_DIRECTLY_SAMPLED -- covered by the same structural/validation checks (block-type validity, leak-pattern scan, related-content render) applied to all 84; not individually opened in the live Admin editor this pass","PASS -- real HTTP 404 (npx next start production server), noindex meta, genuine app 404 body; search/sitemap/glossary/videos listings confirmed to exclude this record's type-representative sample","PASS (0 hash/updated_at/audit churn on second real apply, see second-apply-idempotency-proof.json)",READY_FOR_HUMAN_EDITORIAL_REVIEW,"None blocking -- CTA_MAPPING_REQUIRED and NEEDS_AUTHOR_ASSIGNMENT are expected editorial-readiness states, not defects","Re-certified in the R1.7C closure pass 2026-08-21; foundational data verified live against DEV, not re-derived from the prior report alone."
DB-003,Understanding Your Debt Service Ratio,Article,03,Global,GREEN,YES,draft,YES,NO,,YES,YES,1251,6 min,PASS,PASS,NO_NUMERIC_EXAMPLE_OR_NOT_APPLICABLE,NO,N/A,,NO,N/A,N/A,NONE,0,"CTA_MAPPING_REQUIRED (resource_ctas empty, accepted per spec §17)",NEEDS_AUTHOR_ASSIGNMENT (accepted per spec §18),"NOT_DIRECTLY_SAMPLED -- covered by the same structural/validation checks (block-type validity, leak-pattern scan, related-content render) applied to all 84; not individually opened in the live Admin editor this pass","PASS -- real HTTP 404 (npx next start production server), noindex meta, genuine app 404 body; search/sitemap/glossary/videos listings confirmed to exclude this record's type-representative sample","PASS (0 hash/updated_at/audit churn on second real apply, see second-apply-idempotency-proof.json)",READY_FOR_HUMAN_EDITORIAL_REVIEW,"None blocking -- CTA_MAPPING_REQUIRED and NEEDS_AUTHOR_ASSIGNMENT are expected editorial-readiness states, not defects","Re-certified in the R1.7C closure pass 2026-08-21; foundational data verified live against DEV, not re-derived from the prior report alone."
DB-004,How Interest Rates Affect Your Loan Repayments,Article,03,Global,GREEN,YES,draft,YES,NO,,YES,YES,1419,7 min,PASS,PASS,INDEPENDENTLY_RECOMPUTED_CORRECT,NO,N/A,,NO,N/A,N/A,NONE,0,"CTA_MAPPING_REQUIRED (resource_ctas empty, accepted per spec §17)",NEEDS_AUTHOR_ASSIGNMENT (accepted per spec §18),"NOT_DIRECTLY_SAMPLED -- covered by the same structural/validation checks (block-type validity, leak-pattern scan, related-content render) applied to all 84; not individually opened in the live Admin editor this pass","PASS -- real HTTP 404 (npx next start production server), noindex meta, genuine app 404 body; search/sitemap/glossary/videos listings confirmed to exclude this record's type-representative sample","PASS (0 hash/updated_at/audit churn on second real apply, see second-apply-idempotency-proof.json)",READY_FOR_HUMAN_EDITORIAL_REVIEW,"None blocking -- CTA_MAPPING_REQUIRED and NEEDS_AUTHOR_ASSIGNMENT are expected editorial-readiness states, not defects","Re-certified in the R1.7C closure pass 2026-08-21; foundational data verified live against DEV, not re-derived from the prior report alone."
NW-001,What Is Net Worth?,Article,04,Global,GREEN,YES,draft,YES,NO,,YES,YES,1309,7 min,PASS,PASS,INDEPENDENTLY_RECOMPUTED_CORRECT,NO,N/A,,NO,N/A,N/A,NONE,0,"CTA_MAPPING_REQUIRED (resource_ctas empty, accepted per spec §17)",NEEDS_AUTHOR_ASSIGNMENT (accepted per spec §18),"NOT_DIRECTLY_SAMPLED -- covered by the same structural/validation checks (block-type validity, leak-pattern scan, related-content render) applied to all 84; not individually opened in the live Admin editor this pass","PASS -- real HTTP 404 (npx next start production server), noindex meta, genuine app 404 body; search/sitemap/glossary/videos listings confirmed to exclude this record's type-representative sample","PASS (0 hash/updated_at/audit churn on second real apply, see second-apply-idempotency-proof.json)",READY_FOR_HUMAN_EDITORIAL_REVIEW,"None blocking -- CTA_MAPPING_REQUIRED and NEEDS_AUTHOR_ASSIGNMENT are expected editorial-readiness states, not defects","Re-certified in the R1.7C closure pass 2026-08-21; foundational data verified live against DEV, not re-derived from the prior report alone."
NW-002,Assets vs Liabilities: The Building Blocks of Net Worth,Article,04,Global,GREEN,YES,draft,YES,NO,,YES,YES,1288,6 min,PASS,PASS,INDEPENDENTLY_RECOMPUTED_CORRECT,NO,N/A,,NO,N/A,N/A,NONE,0,"CTA_MAPPING_REQUIRED (resource_ctas empty, accepted per spec §17)",NEEDS_AUTHOR_ASSIGNMENT (accepted per spec §18),"NOT_DIRECTLY_SAMPLED -- covered by the same structural/validation checks (block-type validity, leak-pattern scan, related-content render) applied to all 84; not individually opened in the live Admin editor this pass","PASS -- real HTTP 404 (npx next start production server), noindex meta, genuine app 404 body; search/sitemap/glossary/videos listings confirmed to exclude this record's type-representative sample","PASS (0 hash/updated_at/audit churn on second real apply, see second-apply-idempotency-proof.json)",READY_FOR_HUMAN_EDITORIAL_REVIEW,"None blocking -- CTA_MAPPING_REQUIRED and NEEDS_AUTHOR_ASSIGNMENT are expected editorial-readiness states, not defects","Re-certified in the R1.7C closure pass 2026-08-21; foundational data verified live against DEV, not re-derived from the prior report alone."
NW-003,Why Net Worth Can Matter More Than Salary,Article,04,Global,GREEN,YES,draft,YES,NO,,YES,YES,1176,6 min,PASS,PASS,NO_NUMERIC_EXAMPLE_OR_NOT_APPLICABLE,NO,N/A,,NO,N/A,N/A,NONE,0,"CTA_MAPPING_REQUIRED (resource_ctas empty, accepted per spec §17)",NEEDS_AUTHOR_ASSIGNMENT (accepted per spec §18),"NOT_DIRECTLY_SAMPLED -- covered by the same structural/validation checks (block-type validity, leak-pattern scan, related-content render) applied to all 84; not individually opened in the live Admin editor this pass","PASS -- real HTTP 404 (npx next start production server), noindex meta, genuine app 404 body; search/sitemap/glossary/videos listings confirmed to exclude this record's type-representative sample","PASS (0 hash/updated_at/audit churn on second real apply, see second-apply-idempotency-proof.json)",READY_FOR_HUMAN_EDITORIAL_REVIEW,"None blocking -- CTA_MAPPING_REQUIRED and NEEDS_AUTHOR_ASSIGNMENT are expected editorial-readiness states, not defects","Re-certified in the R1.7C closure pass 2026-08-21; foundational data verified live against DEV, not re-derived from the prior report alone."
NW-004,What Does Negative Net Worth Mean?,Article,04,Global,GREEN,YES,draft,YES,NO,,YES,YES,1216,6 min,PASS,PASS,INDEPENDENTLY_RECOMPUTED_CORRECT,NO,N/A,,NO,N/A,N/A,NONE,0,"CTA_MAPPING_REQUIRED (resource_ctas empty, accepted per spec §17)",NEEDS_AUTHOR_ASSIGNMENT (accepted per spec §18),"NOT_DIRECTLY_SAMPLED -- covered by the same structural/validation checks (block-type validity, leak-pattern scan, related-content render) applied to all 84; not individually opened in the live Admin editor this pass","PASS -- real HTTP 404 (npx next start production server), noindex meta, genuine app 404 body; search/sitemap/glossary/videos listings confirmed to exclude this record's type-representative sample","PASS (0 hash/updated_at/audit churn on second real apply, see second-apply-idempotency-proof.json)",READY_FOR_HUMAN_EDITORIAL_REVIEW,"None blocking -- CTA_MAPPING_REQUIRED and NEEDS_AUTHOR_ASSIGNMENT are expected editorial-readiness states, not defects","Re-certified in the R1.7C closure pass 2026-08-21; foundational data verified live against DEV, not re-derived from the prior report alone."
GL-001,How to Turn Financial Dreams into Measurable Goals,Guide,04,Global,GREEN,YES,draft,YES,NO,,YES,YES,1920,10 min,PASS,PASS,INDEPENDENTLY_RECOMPUTED_CORRECT,NO,N/A,,NO,N/A,N/A,NONE,0,"CTA_MAPPING_REQUIRED (resource_ctas empty, accepted per spec §17)",NEEDS_AUTHOR_ASSIGNMENT (accepted per spec §18),"NOT_DIRECTLY_SAMPLED -- covered by the same structural/validation checks (block-type validity, leak-pattern scan, related-content render) applied to all 84; not individually opened in the live Admin editor this pass","PASS -- real HTTP 404 (npx next start production server), noindex meta, genuine app 404 body; search/sitemap/glossary/videos listings confirmed to exclude this record's type-representative sample","PASS (0 hash/updated_at/audit churn on second real apply, see second-apply-idempotency-proof.json)",READY_FOR_HUMAN_EDITORIAL_REVIEW,"None blocking -- CTA_MAPPING_REQUIRED and NEEDS_AUTHOR_ASSIGNMENT are expected editorial-readiness states, not defects","Re-certified in the R1.7C closure pass 2026-08-21; foundational data verified live against DEV, not re-derived from the prior report alone."
GL-002,"Short-, Medium- and Long-Term Financial Goals",Article,04,Global,GREEN,YES,draft,YES,NO,,YES,YES,1330,7 min,PASS,PASS,INDEPENDENTLY_RECOMPUTED_CORRECT,NO,N/A,,NO,N/A,N/A,NONE,0,"CTA_MAPPING_REQUIRED (resource_ctas empty, accepted per spec §17)",NEEDS_AUTHOR_ASSIGNMENT (accepted per spec §18),"NOT_DIRECTLY_SAMPLED -- covered by the same structural/validation checks (block-type validity, leak-pattern scan, related-content render) applied to all 84; not individually opened in the live Admin editor this pass","PASS -- real HTTP 404 (npx next start production server), noindex meta, genuine app 404 body; search/sitemap/glossary/videos listings confirmed to exclude this record's type-representative sample","PASS (0 hash/updated_at/audit churn on second real apply, see second-apply-idempotency-proof.json)",READY_FOR_HUMAN_EDITORIAL_REVIEW,"None blocking -- CTA_MAPPING_REQUIRED and NEEDS_AUTHOR_ASSIGNMENT are expected editorial-readiness states, not defects","Re-certified in the R1.7C closure pass 2026-08-21; foundational data verified live against DEV, not re-derived from the prior report alone."
GL-003,How Inflation Changes the Future Cost of Your Goals,Article,05,Global,GREEN,YES,draft,YES,NO,,YES,YES,1461,7 min,PASS,PASS,NO_NUMERIC_EXAMPLE_OR_NOT_APPLICABLE,NO,N/A,,NO,N/A,N/A,NONE,0,"CTA_MAPPING_REQUIRED (resource_ctas empty, accepted per spec §17)",NEEDS_AUTHOR_ASSIGNMENT (accepted per spec §18),"NOT_DIRECTLY_SAMPLED -- covered by the same structural/validation checks (block-type validity, leak-pattern scan, related-content render) applied to all 84; not individually opened in the live Admin editor this pass","PASS -- real HTTP 404 (npx next start production server), noindex meta, genuine app 404 body; search/sitemap/glossary/videos listings confirmed to exclude this record's type-representative sample","PASS (0 hash/updated_at/audit churn on second real apply, see second-apply-idempotency-proof.json)",READY_FOR_HUMAN_EDITORIAL_REVIEW,"None blocking -- CTA_MAPPING_REQUIRED and NEEDS_AUTHOR_ASSIGNMENT are expected editorial-readiness states, not defects","Re-certified in the R1.7C closure pass 2026-08-21; foundational data verified live against DEV, not re-derived from the prior report alone."
